Brand,SearchIndex,Sales
Ford,88,161672
Chevrolet,17,137304
Toyota,50,136621
Honda,57,84137
Nissan,33,73793
Hyundai,35,43713
Dodge,86,43227
Kia,32,36302
GMC,30,30816
Jeep,60,30318
Volkswagen,47,29018
Subaru,86,27663
Mercedes-Benz,32,23578
Mazda,73,21319
Chrysler,31,20696
BMW,89,16513
Lexus,41,16211
Buick,24,13463
Cadillac,38,13116
Audi,87,10056
Acura,12,9489
Infiniti,9,7126
Scion,6,4893
Volvo,34,4875
